"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Received","28/02/2026","Afghanistan","128","127","178","58","67","189","338","492","416","54"
"short term visa applications","Received","28/02/2026","Åland Islands","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Albania","409","528","521","109","159","571","680","554","565","90"
"short term visa applications","Received","28/02/2026","Algeria","371","369","519","102","82","339","608","1330","592","74"
"short term visa applications","Received","28/02/2026","American Samoa","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Angola","78","122","79","10","8","88","140","105","90","44"
"short term visa applications","Received","28/02/2026","Anguilla","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Antarctica","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Armenia","174","164","270","41","27","241","339","309","390","41"
"short term visa applications","Received","28/02/2026","Aruba","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Azerbaijan","179","213","237","49","77","207","244","266","234","66"
"short term visa applications","Received","28/02/2026","Bahrain","249","213","252","42","83","196","166","207","269","26"
"short term visa applications","Received","28/02/2026","Bangladesh","627","584","672","111","103","645","1120","1410","1422","236"
"short term visa applications","Received","28/02/2026","Belarus","1423","1509","1484","248","120","433","475","630","661","98"
"short term visa applications","Received","28/02/2026","Benin","18","23","33","*","*","11","28","26","59","7"
"short term visa applications","Received","28/02/2026","Bermuda","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Bhutan","13","15","9","*","*","*","*","7","7","0"
"short term visa applications","Received","28/02/2026","Bolivia (Plurinational State of)","0","0","*","0","0","0","44","141","170","26"
"short term visa applications","Received","28/02/2026","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Bosnia and Herzegovina","436","571","462","111","66","347","372","576","361","61"
"short term visa applications","Received","28/02/2026","Botswana","*","*","0","*","*","0","0","88","155","29"
"short term visa applications","Received","28/02/2026","Bouvet Island","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Burkina Faso","22","24","21","6","*","18","10","13","27","*"
"short term visa applications","Received","28/02/2026","Burundi","38","24","20","*","*","18","55","91","94","*"
"short term visa applications","Received","28/02/2026","Cabo Verde","8","14","16","*","*","9","6","18","18","*"
"short term visa applications","Received","28/02/2026","Cambodia","55","52","48","11","*","33","78","66","93","7"
"short term visa applications","Received","28/02/2026","Cameroon","244","239","290","46","39","180","293","912","2217","92"
"short term visa applications","Received","28/02/2026","Cayman Islands (the)","0","0","0","0","0","0","0","0","0","0"
